A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Inverse Variance,g_k,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
0.0,#,1.0,#,0.0,0.0,#,#,0.0,1.0,#,0.0,0.009505269671852735,0.0017006852648606874,0.03919591998567363,728.2522656492155,305.04888714296203,3.785757358292474e-09,1,20.65931637309033,2624,42,0.5454545454545454,0.00024338293012943685,26,46
#,1.0,1.0,1.0,#,0.0,#,#,#,0.0,0.0,0.0,0.0044339536105218605,0.00197235678739077,0.0,834.5524458907327,182.15915131854362,4.985916819503053e-08,1,24.335076221274406,2989,45,0.5454545454545454,0.0041811537741007045,28,49
0.0,#,1.0,#,#,#,0.0,1.0,1.0,#,0.0,1.0,0.007482067052074437,0.0014273736526767946,0.0,419.52096603340794,428.4563766028971,6.925752165349718e-10,2,22.458733717028863,2960,48,0.5454545454545454,0.0005291629519907119,19,48
0.0,0.0,#,0.0,0.0,#,#,#,1.0,1.0,#,0.0,0.4633504064164351,inf,0.3333333333333333,1000.0,0.0,1.0,3,20.776788870389066,2666,51,0.5454545454545454,0.0007343005445053193,39,51
0.0,0.0,#,1.0,0.0,0.0,#,0.0,1.0,1.0,0.0,1.0,0.2131199845005246,-0.0035,-0.058409614509792145,666.6666666666667,222.22222222222226,1.845281249999999e-08,1,21.333333333333332,2101,53,0.8181818181818182,0.00025132337790507346,3,6
0.0,0.0,1.0,#,1.0,1.0,0.0,1.0,0.0,1.0,#,0.0,0.06862222196099992,inf,0.5,0.0,0.0,1.0,1,22.0,2200,55,0.8181818181818182,0.000259177233464607,2,7
#,1.0,1.0,0.0,#,0.0,1.0,1.0,1.0,#,0.0,0.0,0.021301796385513494,-0.0007499999999999999,-0.018295597043610803,492.8,398.93333333333334,9.896881516216052e-10,1,20.723200000000002,1938,56,0.7272727272727273,0.00024413552929698838,8,14
0.0,#,1.0,0.0,#,#,1.0,1.0,1.0,#,#,1.0,0.0069715216230678894,0.0024602968534088937,0.060016799783510294,966.5277898553383,96.49330110423323,1.1954025532582623e-06,1,15.755965372095663,2701,56,0.5454545454545454,0.00018561761435017732,31,52
#,#,0.0,1.0,0.0,#,#,1.0,#,#,1.0,0.0,0.004613058195399883,0.0014667181569402354,0.0,629.2217200441241,416.81408807208715,7.948552604730428e-10,1,26.345188863842196,2953,57,0.45454545454545453,0.004350778336046679,32,98
#,#,1.0,#,1.0,#,1.0,1.0,0.0,1.0,1.0,1.0,0.08261691459666529,0.0009815319065270363,0.0,863.2402616319999,232.1226574506667,1.4839262943162818e-08,1,23.402502639616,2703,59,0.6363636363636364,0.00027569981319471986,16,25
0.0,0.0,1.0,#,0.0,0.0,1.0,#,1.0,1.0,#,0.0,0.1772718902659832,inf,0.2,1000.0,0.0,1.0,1,21.64,2577,62,0.7272727272727273,0.0002549361514624589,6,11
#,0.0,1.0,0.0,#,0.0,#,#,0.0,0.0,0.0,0.0,0.5996429251035257,0.00125,0.0,1000.0,0.0,1.0,2,26.1937152,2974,63,0.6363636363636364,0.000617164967245075,11,21
0.0,#,1.0,0.0,1.0,#,1.0,0.0,1.0,#,0.0,1.0,0.34706835946044723,inf,0.3333333333333333,1000.0,0.0,1.0,1,26.68,2571,66,0.7272727272727273,0.0003143112994925325,7,12
#,#,#,0.0,0.0,#,0.0,#,0.0,#,1.0,1.0,0.004398169697276108,0.0016530102028384048,0.0,502.61325038488934,419.58479032800534,7.689556908864904e-10,1,19.833958966400093,2994,70,0.45454545454545453,0.0034355162168583607,32,96
#,1.0,#,#,#,#,1.0,#,1.0,0.0,1.0,1.0,0.03587079185883657,0.00210822198755019,0.0,928.7707748228105,143.20939157996915,1.6601315442606066e-07,1,27.038937255398118,2965,72,0.45454545454545453,0.0003185398615307808,46,95
1.0,1.0,#,1.0,#,#,0.0,1.0,#,1.0,1.0,0.0,0.18285559725635592,inf,0.1,0.0,0.0,1.0,1,22.8,2926,75,0.6363636363636364,0.0002686018601360473,5,25
0.0,#,#,1.0,0.0,0.0,0.0,1.0,#,0.0,0.0,0.0,0.12088696073272792,-0.0012450199203187249,-0.0,897.6,143.35999999999999,1.6514295005431624e-07,1,20.4736,741,77,0.7272727272727273,0.00024119504577549902,8,13
#,1.0,1.0,1.0,#,0.0,0.0,#,#,#,0.0,1.0,0.4288908212571715,inf,0.16666666666666666,0.0,0.0,1.0,3,22.8,2875,77,0.5454545454545454,0.0008058055804081418,8,42
