A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Inverse Variance,g_k,Prediction,Prediction Error,Accuracy,Numerosity,Avg Action Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Experience,Match Count
1.0,#,0.0,0.0,#,#,#,#,1.0,1.0,#,1.0,0.010613429990580812,0.002581529089401163,0.0,858.4228793702266,242.1106759086751,1.2020714964142373e-08,1,21.029028614270917,2815,628,0.45454545454545453,0.00024782392489451394,40,72
#,#,#,0.0,#,0.0,#,1.0,#,#,1.0,1.0,0.0027226165560054207,0.001828125,0.0,818.3822631775708,305.3016408827733,3.7701124816859155e-09,1,16.09058689171747,2947,631,0.36363636363636365,0.004502357521685215,72,148
0.0,#,#,1.0,1.0,#,#,0.0,#,1.0,1.0,0.0,0.0013403954802721088,0.0015437845985104743,0.0,350.183374848,405.1135878485333,9.164651393746448e-10,1,32.41153949286401,2952,635,0.5454545454545454,0.0003818333244586066,16,40
1.0,#,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,#,0.0,0.08216446753070042,inf,0.125,1000.0,0.0,1.0,1,26.666666666666668,2686,638,0.8181818181818182,0.00031415422238134183,3,4
#,0.0,1.0,#,0.0,#,1.0,#,1.0,0.0,#,1.0,0.02109505624517158,0.0013125000000000003,0.0,660.8849047715839,385.02936936448,1.1817638750341415e-09,1,25.77328953402982,2765,646,0.5454545454545454,0.0003036295399414618,19,35
0.0,0.0,#,1.0,1.0,#,#,#,#,#,#,0.0,0.8431009898505695,inf,0.3333333333333333,0.0,0.0,1.0,15,32.33990448284838,2944,686,0.36363636363636365,0.005714841118891558,45,150
#,0.0,#,1.0,1.0,0.0,0.0,#,#,0.0,#,1.0,0.003021833136532378,0.001947213657768311,0.0,825.9599455027198,297.9330096715094,4.259973337896777e-09,1,20.081639072399362,2951,687,0.5454545454545454,0.0002365774390099647,18,36
0.0,#,1.0,#,#,1.0,#,1.0,0.0,0.0,#,0.0,0.011313877346236293,0.0013125,0.0,884.15332352,233.6842492586667,1.4350029513462241e-08,1,21.095104839679998,2811,690,0.5454545454545454,0.0002485168596360956,15,35
#,1.0,0.0,1.0,#,1.0,#,#,#,#,0.0,0.0,0.0049788171336949145,0.001634576314726333,0.0,513.2595126201221,436.26269619509003,6.327899960524723e-10,2,27.628820594867044,2817,722,0.45454545454545453,0.016910277588842997,22,69
1.0,0.0,0.0,0.0,#,1.0,#,#,#,#,#,1.0,0.005601521532662164,0.00165625,0.0,769.1477854042466,340.0347912309488,2.1998001411320455e-09,1,20.896866494790146,2815,740,0.45454545454545453,0.00284203703409818,29,66
1.0,1.0,0.0,#,#,#,#,#,#,0.0,#,1.0,0.8752414711649597,inf,0.3333333333333333,0.0,0.0,1.0,26,40.2407463143624,2774,745,0.36363636363636365,0.012325755357272532,37,136
1.0,1.0,1.0,#,#,#,1.0,0.0,#,#,0.0,0.0,0.3775991998518455,inf,0.3333333333333333,1000.0,0.0,1.0,2,24.21908047092384,2838,750,0.5454545454545454,0.0005706394794100665,21,37
0.0,0.0,#,1.0,0.0,1.0,#,1.0,#,0.0,#,1.0,0.061935777130384624,0.000625,0.009258222075143761,918.08,157.01333333333335,1.0478939476342116e-07,1,32.93504,2272,763,0.6363636363636364,0.00038800057051118956,9,17
#,0.0,0.0,0.0,0.0,#,0.0,0.0,#,#,1.0,0.0,0.15959630483787232,inf,0.125,1000.0,0.0,1.0,1,27.022711296,2686,775,0.6363636363636364,0.0003183487070186393,13,16
1.0,1.0,#,1.0,0.0,0.0,#,0.0,1.0,#,#,1.0,0.08885470204835087,0.000625,0.0,400.0,346.66666666666663,1.997282869425226e-09,1,23.8,2986,792,0.6363636363636364,0.0002803826434753476,5,18
1.0,0.0,0.0,1.0,#,0.0,#,#,#,0.0,0.0,1.0,0.03398746073550299,0.000625,0.0,840.0,237.33333333333331,1.328025167372283e-08,1,25.080000000000002,2835,799,0.6363636363636364,0.000295462046149652,6,16
0.0,#,#,1.0,1.0,1.0,#,#,#,#,1.0,0.0,0.006290038833597204,0.002795030022837408,0.0,228.37977564158365,343.74479243032664,2.0836240535746254e-09,1,31.209923759032254,2935,803,0.45454545454545453,0.0037800187627923124,25,72
0.0,#,1.0,#,1.0,#,0.0,0.0,0.0,#,#,0.0,0.0025453265491440303,0.0013125,0.0,619.1910802489344,421.6491767898658,7.503151509834971e-10,1,28.89910988041093,2952,803,0.5454545454545454,0.008649590227217396,20,34
0.0,1.0,#,0.0,#,1.0,#,#,#,#,0.0,1.0,0.07586303479882019,0.00284048776474464,0.0,916.9135243049013,137.59617480547996,2.0275342392022667e-07,1,17.212430374259032,2718,820,0.45454545454545453,0.00020277591298193754,40,68
#,1.0,0.0,0.0,#,#,1.0,0.0,0.0,1.0,#,1.0,0.26479698304441135,0.0008928571428571428,0.0,800.0,160.0,9.5367431640625e-08,1,27.034879999999998,2880,832,0.6363636363636364,0.00031849206388398336,9,16
#,#,0.0,#,#,#,#,0.0,#,0.0,0.0,0.0,0.011213581311240587,0.0026473047713725583,0.0,809.4391625138927,280.03568241207006,5.806750079959389e-09,1,24.22444817732336,2942,833,0.36363636363636365,0.000285382975491155,87,132
0.0,1.0,0.0,#,#,0.0,#,#,#,#,1.0,1.0,0.24470956055670187,inf,0.3333333333333333,0.0,0.0,1.0,1,25.391192628428797,2984,837,0.45454545454545453,0.000299128139081959,17,68
0.0,#,0.0,#,#,#,#,#,0.0,0.0,0.0,1.0,0.0024897811259033623,0.0016562500000000004,0.0,769.3749459028857,351.6061583624947,1.8608768555927041e-09,1,20.1009143755547,2951,841,0.45454545454545453,0.006150482932942042,35,68
0.0,1.0,1.0,#,1.0,#,0.0,#,#,#,#,0.0,0.8665646770740709,inf,0.5,1000.0,0.0,1.0,11,21.364141258871086,2996,845,0.45454545454545453,0.0029099352706510066,53,68
#,#,0.0,#,0.0,1.0,1.0,#,#,1.0,0.0,1.0,0.058598614759586456,0.0021560095204229005,0.0,891.2364544000001,190.12780031999995,4.025055579683256e-08,3,31.869032068959434,2461,858,0.5454545454545454,0.0011263264861128745,20,32
#,1.0,1.0,#,#,0.0,0.0,#,1.0,0.0,#,1.0,0.044815515130862925,0.001317855765832343,0.0,495.936,363.16159999999996,1.5830710097434327e-09,1,27.261632,2947,869,0.5454545454545454,0.0003211633800677364,10,35
0.0,1.0,1.0,#,0.0,#,#,1.0,0.0,#,#,0.0,0.018390838985801843,0.0013125,0.0,560.2424573132799,385.26992567500804,1.1780791080727845e-09,2,19.88203224530944,2980,876,0.5454545454545454,0.0004684518284539463,18,34
#,1.0,0.0,1.0,1.0,#,0.0,1.0,1.0,#,#,0.0,0.03530608661278868,0.000625,0.0,480.0,346.6666666666667,1.9972828694252237e-09,1,28.0,2802,883,0.6363636363636364,0.0003298619335004089,6,16
1.0,1.0,#,#,#,#,#,0.0,1.0,0.0,#,1.0,0.0010598961931329448,0.0015931656409481844,0.036791151615687696,539.596861387414,435.8689864501236,6.356530819631205e-10,1,30.2101074403619,2986,884,0.45454545454545453,0.021714183921532196,23,67
#,1.0,#,1.0,#,#,#,1.0,#,1.0,1.0,0.0,0.0045992612782444885,0.001983078518941455,0.0,335.19133719631446,405.5973248616221,9.110130336907639e-10,1,23.957442521431165,2980,886,0.45454545454545453,0.003968322389857634,25,67
1.0,0.0,0.0,#,#,#,#,0.0,#,0.0,0.0,1.0,0.06732395340407712,inf,0.14285714285714285,0.0,0.0,1.0,1,33.5,2879,889,0.5454545454545454,0.00039465624186656064,4,32
#,0.0,#,0.0,0.0,0.0,#,#,0.0,0.0,0.0,0.0,0.027460608544269276,0.0014080847817823116,0.0,870.7564544,210.91625642666665,2.39579540726829e-08,1,21.910720307200002,2974,893,0.6363636363636364,0.0002814240692463625,14,18
#,1.0,0.0,1.0,0.0,#,0.0,1.0,#,#,#,0.0,0.03739814274696954,0.0013125,0.0,903.547785216,201.7091125248,2.994831600777281e-08,1,24.422782595072,2953,905,0.5454545454545454,0.00028771951029537803,16,34
#,0.0,1.0,1.0,1.0,0.0,0.0,0.0,#,0.0,#,1.0,0.019995473188350495,-0.0008823529411764706,-0.0,650.0,250.0,1.0240000000000001e-08,1,30.494400000000002,908,908,0.7272727272727273,0.0003592479194619596,0,8
0.0,#,1.0,#,1.0,#,#,#,1.0,#,0.0,1.0,0.024753381707287612,0.0027232535337863907,0.0,891.8120441407584,164.6403188033498,8.266449332035581e-08,2,22.951384317309483,2936,913,0.45454545454545453,0.0005407705719584763,39,67
0.0,#,#,0.0,0.0,0.0,#,1.0,0.0,0.0,#,1.0,0.15820968182839396,0.0012755102040816326,0.0,160.0,184.0,4.741446831686878e-08,1,33.839999999999996,2848,926,0.6363636363636364,0.0003986617082019227,6,17
#,1.0,#,#,#,#,0.0,0.0,#,1.0,0.0,0.0,0.0032156824953681676,0.0021648544579033076,0.0,969.8740426143002,99.64144683170358,1.0181221239716568e-06,1,17.971273212942112,2877,955,0.45454545454545453,0.0042575549281791926,38,63
1.0,1.0,#,1.0,#,#,#,0.0,1.0,1.0,#,1.0,0.0048751401366398574,0.0022619699149533513,0.0,919.7535558172672,185.32719099816617,4.5740855604103087e-08,1,16.38149336481792,2840,958,0.5454545454545454,0.002559887977393853,20,31
#,#,#,#,0.0,1.0,0.0,#,0.0,#,0.0,0.0,0.004553688109048941,0.001936575756342816,0.0,693.0044171520587,325.70026381952624,2.728408841874961e-09,1,18.875462776912663,2985,959,0.45454545454545453,0.00315783112533459,34,63
#,1.0,0.0,0.0,#,1.0,#,#,#,1.0,#,1.0,0.5419293031681934,inf,0.5,1000.0,0.0,1.0,4,23.344127652300138,2550,960,0.45454545454545453,0.00112766410045828,42,63
0.0,1.0,0.0,0.0,#,#,#,0.0,#,#,0.0,1.0,0.005398545818427186,0.0013124999999999999,0.0,858.966528,263.3673386666667,7.892060828588854e-09,1,32.286377472,2085,960,0.5454545454545454,0.0003803588178084987,13,30
1.0,0.0,#,#,#,#,0.0,1.0,#,#,1.0,0.0,0.01421263050597538,0.0017790960859531899,0.0,430.9502803569079,423.1283463982786,7.372917871748709e-10,1,20.9171409400115,2436,964,0.45454545454545453,0.0002464203054918841,25,63
#,#,1.0,1.0,0.0,1.0,#,#,1.0,0.0,1.0,0.0,0.12032164734798739,0.0006188118811881188,0.0,520.0,365.3333333333333,1.536574079731086e-09,1,18.080000000000002,2004,971,0.6363636363636364,0.00021299656277454977,6,15
1.0,1.0,#,#,#,#,#,#,1.0,#,0.0,1.0,0.006256419713742244,0.0018508821253795,0.040927854701718364,487.70471384025336,437.17493204931003,6.262154004327393e-10,2,20.104696618688337,2986,990,0.36363636363636365,0.009792333906932765,53,125
#,#,0.0,1.0,#,#,#,1.0,1.0,#,1.0,0.0,0.017968665774950234,0.0017349380377779913,0.0,454.645044339007,383.7294216985932,1.2019170728933052e-09,1,26.585194720215195,2953,998,0.45454545454545453,0.00031319441903196596,26,63
#,#,0.0,#,1.0,1.0,#,#,1.0,0.0,0.0,0.0,0.01069969365180981,0.0013125,0.0,443.01234012159995,413.18703584597336,8.303602802402984e-10,1,24.621020333670398,2933,1000,0.5454545454545454,0.0002900549061434786,17,30
1.0,#,#,0.0,1.0,0.0,#,#,0.0,#,#,1.0,0.0031923609048900878,0.0016593660788982514,0.0,496.2442538293658,418.2305077174381,7.814864536324468e-10,1,24.313997511486342,2879,1006,0.45454545454545453,0.005802283689241788,21,61
0.0,#,1.0,1.0,1.0,#,0.0,#,0.0,#,#,0.0,0.004190074624949701,0.0013125,0.0,625.211461632,386.5894267562667,1.158110877238441e-09,1,32.8366628864,2952,1008,0.5454545454545454,0.0003868416110503222,16,31
#,0.0,#,0.0,#,0.0,#,1.0,0.0,#,#,1.0,0.005177612248948704,0.0017122348839782755,0.0,434.6060701108969,428.53135503966075,6.91969542780887e-10,1,23.340504131229824,2848,1014,0.45454545454545453,0.0034342767017158976,26,62
0.0,#,#,#,1.0,0.0,1.0,#,1.0,#,1.0,0.0,0.005478468064039371,0.0011664580020905122,0.0,750.4024965283841,362.64633042643624,1.594349624272781e-09,1,24.0767174984663,2995,1016,0.5454545454545454,0.00029270412793238866,19,31
0.0,1.0,#,0.0,1.0,#,1.0,#,#,#,#,0.0,0.01978485739124184,0.0017291814657613275,0.0,457.82312775992114,412.1332346852133,8.410306270707208e-10,1,19.84750862309285,2995,1016,0.45454545454545453,0.00023042488611061288,28,61
1.0,0.0,1.0,#,#,#,#,1.0,#,#,1.0,0.0,0.027494288022833713,0.0016562500000000004,0.0,850.8432680288256,261.0059116526524,8.255593111429263e-09,1,17.01325606867436,2482,1032,0.45454545454545453,0.00020042948364108892,20,55
#,#,#,0.0,1.0,0.0,#,#,#,0.0,0.0,1.0,0.0038229923534987944,0.001830078983146706,0.0,373.3541122195587,400.79838973901406,9.668746189069037e-10,1,22.499515979604478,2883,1034,0.45454545454545453,0.004483573778416847,23,57
0.0,#,#,1.0,1.0,1.0,1.0,#,#,#,#,0.0,0.2834521969616766,inf,0.5,0.0,0.0,1.0,1,36.498053816319995,2935,1042,0.45454545454545453,0.000429975664316189,16,60
0.0,#,#,#,1.0,1.0,1.0,#,#,#,1.0,0.0,0.01604341650330995,0.006120299467731824,0.0,13.743895347200004,43.98046511104,6.0771633572862724e-05,1,33.0219808997376,2935,1042,0.45454545454545453,0.000389024802414322,17,62
#,1.0,1.0,1.0,#,#,#,1.0,#,1.0,1.0,0.0,0.008314551379713563,0.0014553775585371149,0.0,401.82784000000004,411.22133333333335,8.503971881814975e-10,1,23.202575359999997,2980,1050,0.5454545454545454,0.00027334451322994803,12,30
1.0,#,0.0,#,1.0,0.0,1.0,0.0,#,0.0,#,0.0,0.20272844612875618,inf,0.2,1000.0,0.0,1.0,1,30.183971839999998,2739,1070,0.6363636363636364,0.00035559083256658195,12,14
#,0.0,0.0,0.0,#,#,0.0,#,0.0,#,#,1.0,0.011389314844792088,0.002124626452207631,0.038998571012046325,279.54879940379277,337.6585901020737,2.278300399562117e-09,1,24.506891924814692,2879,1085,0.45454545454545453,0.00028871038408589044,23,59
#,#,0.0,0.0,#,1.0,#,#,1.0,1.0,#,0.0,0.005983881328693524,0.0016329024243680117,0.0,528.5964124782593,438.3960233445513,6.175426680256347e-10,1,24.287813012822426,2925,1104,0.45454545454545453,0.003092146153344049,20,59
#,0.0,#,#,0.0,#,1.0,#,1.0,#,0.0,0.0,0.0021250380078622066,0.0016562500000000002,0.0,746.7693435644806,290.6641293255202,4.819953013758648e-09,1,23.38434438415227,2878,1108,0.45454545454545453,0.008383262606215993,22,61
0.0,1.0,#,0.0,#,1.0,#,#,1.0,#,#,0.0,0.004862584075304609,0.0017838320617471646,0.0,428.4786586792229,421.6185652316327,7.505875731832871e-10,1,19.81458219367491,2996,1124,0.45454545454545453,0.0025716821178798934,26,58
0.0,0.0,#,1.0,1.0,#,#,0.0,0.0,0.0,#,1.0,0.2009717441093534,inf,0.3333333333333333,1000.0,0.0,1.0,1,30.098751999999998,2951,1128,0.6363636363636364,0.0003696036992485382,10,14
#,0.0,1.0,0.0,1.0,0.0,#,0.0,#,#,#,1.0,0.008813188370448592,0.002361941439526437,0.0,944.3130646528,130.75759497215995,2.616166498901161e-07,1,26.950151107379202,2883,1131,0.5454545454545454,0.00031749389115743893,17,28
#,#,#,0.0,1.0,0.0,#,1.0,0.0,#,#,1.0,0.0038560317521775297,0.0016440638779310678,0.0,529.6487800322392,430.7688108178154,6.741844687917291e-10,1,21.43034865672163,2782,1136,0.45454545454545453,0.004233925479874729,23,54
#,#,#,0.0,#,0.0,#,1.0,0.0,0.0,#,1.0,0.005556161065679789,0.0018951972277062,0.0,331.8927977781658,379.2704828946951,1.274250395117147e-09,1,24.777998270055054,2848,1136,0.45454545454545453,0.0033973943947452692,21,56
#,1.0,#,#,#,0.0,0.0,1.0,1.0,#,#,0.0,0.005860792741681771,0.002791056474708969,0.0,906.5867118748631,212.54134259735596,2.3055943638795002e-08,1,18.388098625286553,2888,1147,0.45454545454545453,0.0023902043666413886,37,56
1.0,1.0,0.0,#,#,#,#,1.0,#,1.0,#,0.0,0.3461637454791565,inf,0.16666666666666666,0.0,0.0,1.0,4,30.65400001101824,2926,1147,0.45454545454545453,0.0014445125304508618,18,56
#,0.0,1.0,0.0,0.0,1.0,1.0,#,1.0,#,#,1.0,0.18279550072681683,0.000625,0.0,712.0,262.4,8.038607917201419e-09,1,31.432,2765,1150,0.6363636363636364,0.00037029358192088756,7,15
#,0.0,#,#,1.0,#,0.0,1.0,0.0,#,1.0,0.0,0.023825135666111653,0.0014279824237068976,0.0,338.25791999999996,392.08482133333337,1.0791948158938122e-09,1,25.043230720000004,2230,1159,0.5454545454545454,0.00029502887522842995,12,27
#,0.0,1.0,#,1.0,#,1.0,1.0,0.0,1.0,#,0.0,0.23183458546400978,0.000625,0.0,1000.0,0.0,1.0,1,22.333333333333332,2482,1160,0.6363636363636364,0.00026310416124437376,3,15
0.0,#,0.0,#,#,1.0,#,#,0.0,0.0,0.0,1.0,0.06326760780432014,0.0019435854449039484,0.0,824.7016726528,253.69421283328,9.515841465448692e-09,1,23.831637844262907,2699,1163,0.5454545454545454,0.0002807553620639314,19,29
#,1.0,#,#,#,1.0,0.0,0.0,#,1.0,0.0,0.0,0.020969812084401393,0.0013124999999999999,0.0,877.5263232,245.7302903466667,1.1161087965044656e-08,2,22.6735473664,2877,1176,0.5454545454545454,0.0005342242981138434,14,31
#,0.0,0.0,1.0,#,#,#,1.0,#,#,1.0,0.0,0.22301574015094985,inf,0.125,0.0,0.0,1.0,1,28.77514463232,2751,1183,0.45454545454545453,0.00033899374447039245,15,59
#,#,0.0,1.0,0.0,#,0.0,1.0,1.0,0.0,1.0,0.0,0.03398395194488205,-0.0006,-0.0,1000.0,0.0,1.0,1,31.0,2953,1183,0.7272727272727273,0.00036520428351830984,1,6
1.0,#,0.0,#,0.0,1.0,#,#,#,1.0,#,0.0,0.0012473904805624155,0.001330989709226826,0.0,744.374760013824,377.02132487072424,1.3127149276298206e-09,1,26.036069045731328,2940,1187,0.45454545454545453,0.00030672528843482435,19,60
1.0,1.0,#,#,#,0.0,#,#,1.0,#,0.0,1.0,0.014983350962489646,0.0024767890717264053,0.0,168.708538368,289.9768421034667,4.877344364022999e-09,1,27.440180846592,2986,1191,0.45454545454545453,0.0003232668253449187,16,54
0.0,1.0,#,0.0,1.0,0.0,1.0,#,#,#,#,0.0,0.10563989626158127,0.0013124999999999999,0.0,705.59445172224,367.256527699968,1.496760733108622e-09,3,23.58212317822976,2995,1201,0.5454545454545454,0.0008562622268188338,18,29
#,0.0,0.0,1.0,#,#,#,1.0,#,1.0,#,0.0,0.23137449843515168,inf,0.125,0.0,0.0,1.0,3,33.402539788910204,2891,1205,0.45454545454545453,0.0011805242527065279,22,59
0.0,0.0,1.0,#,1.0,#,#,#,#,#,#,1.0,0.7870949819330627,inf,0.3333333333333333,1000.0,0.0,1.0,11,23.646312671345488,2936,1207,0.36363636363636365,0.003064292949899202,89,117
0.0,1.0,1.0,#,1.0,#,0.0,#,#,#,#,1.0,0.5368480522968526,inf,0.5,0.0,0.0,1.0,4,26.425062399999998,2893,1215,0.45454545454545453,0.001245231739447565,11,54
#,#,1.0,#,0.0,#,1.0,#,1.0,#,0.0,1.0,0.004248227214437224,0.00165625,0.0,452.2694710088258,427.370864684985,7.01415635109153e-10,1,19.638390315926433,2986,1227,0.45454545454545453,0.003521702983083876,35,56
#,#,0.0,0.0,0.0,1.0,#,1.0,#,1.0,#,0.0,0.021054351506878895,0.0014740566037735854,0.0,390.4,373.3333333333333,1.3788472593961975e-09,1,26.2416,2925,1229,0.5454545454545454,0.0003091466040765832,8,26
#,1.0,#,1.0,#,#,1.0,1.0,#,1.0,1.0,0.0,0.00877006173640699,0.0023237550834023595,0.0,209.87903999999997,314.10312533333337,3.2706849435587765e-09,1,30.416962559999995,2980,1234,0.5454545454545454,0.0003583356457589695,12,28
#,0.0,#,#,0.0,1.0,1.0,#,#,1.0,#,1.0,0.0023305534428060106,0.0015790554531594644,0.0,597.7730664063511,430.0413422418099,6.799061295303389e-10,1,30.390185960293845,2870,1239,0.45454545454545453,0.009934107737937029,31,52
#,#,#,1.0,#,#,1.0,0.0,0.0,1.0,1.0,1.0,0.002037747579103439,0.001470523678463016,0.0,714.9216374784,387.37417513642663,1.1464277176480063e-09,1,27.199711863603202,2302,1239,0.5454545454545454,0.0003204339123565058,17,29
0.0,#,0.0,#,#,#,1.0,#,#,0.0,1.0,0.0,0.0026519266873596785,0.0016562500000000002,0.0,772.2915045797133,327.49916713958106,2.654293848776375e-09,1,19.79432935045978,2972,1243,0.45454545454545453,0.005686353474286258,32,55
0.0,1.0,0.0,0.0,#,#,#,0.0,#,0.0,#,0.0,0.031961395572593504,0.0013125,0.0,777.6583589887999,327.0227263488,2.6736855297362326e-09,1,25.010232401100797,2689,1243,0.5454545454545454,0.0002946401291829173,17,28
#,#,0.0,#,0.0,#,#,#,0.0,1.0,#,1.0,0.0013718622005036362,0.002121782541135432,0.0,776.8026745835,289.697819524844,4.900877734271445e-09,1,23.951980856314567,2957,1261,0.36363636363636365,0.013301037577771355,59,110
1.0,1.0,1.0,#,#,#,1.0,0.0,1.0,0.0,0.0,1.0,0.1125946384310661,inf,0.3333333333333333,0.0,0.0,1.0,1,32.0,2986,1270,0.7272727272727273,0.0003769850668576102,2,6
0.0,#,1.0,#,1.0,1.0,#,#,1.0,#,1.0,0.0,0.005522945421757222,0.0012708171959721147,0.0,532.8,398.93333333333334,9.896881516216052e-10,1,31.457599999999996,2299,1277,0.5454545454545454,0.00037059516997437365,8,26
#,#,0.0,1.0,#,#,#,1.0,#,1.0,#,0.0,0.007333342723847004,0.003063598314961307,0.0,231.1498466954619,321.86352511907035,2.894950769677271e-09,1,29.229613028051656,2926,1282,0.36363636363636365,0.0003443477381750665,41,112
#,#,0.0,#,1.0,#,0.0,1.0,0.0,1.0,1.0,0.0,0.043583430301581044,0.0008333333333333334,0.0,250.00000000000003,270.8333333333333,6.862611684033906e-09,1,37.5,2926,1288,0.6363636363636364,0.00044177937522376195,4,12
1.0,#,0.0,#,#,0.0,0.0,#,0.0,#,1.0,0.0,0.020256421990523476,0.0013125,0.0,725.9481088,372.2921028266667,1.3982372902529502e-09,1,27.5754148864,2355,1288,0.5454545454545454,0.0003248599882679951,14,25
0.0,#,0.0,#,#,#,0.0,#,#,0.0,0.0,0.0,0.0038898033084032034,0.0016562500000000004,0.0,492.6287657052477,425.8406900173911,7.141085215454702e-10,1,21.133368328782645,2909,1296,0.45454545454545453,0.0041390021829868446,27,56
0.0,0.0,#,#,1.0,#,#,1.0,#,#,1.0,1.0,0.007493490850097478,0.0023815452101507346,0.043714442084610616,804.5481593460192,304.39322370352977,3.8267060195059345e-09,1,21.63490277456674,2728,1303,0.45454545454545453,0.00025487610215399806,47,57
#,#,#,0.0,#,#,1.0,1.0,0.0,#,1.0,0.0,0.004411137138190149,0.0017086987111186295,0.0,377.219522020256,414.6453540625439,8.158606400532914e-10,1,21.857485907953315,2923,1309,0.45454545454545453,0.003774889312576198,24,56
#,1.0,1.0,#,0.0,#,0.0,#,0.0,0.0,#,1.0,0.03527890448491622,0.0014260649690209795,0.0,420.36480000000006,369.87904,1.4444462679826306e-09,1,26.143743999999998,2994,1314,0.5454545454545454,0.0003079937837421326,11,28
0.0,#,#,1.0,1.0,#,0.0,#,0.0,#,#,0.0,0.007642077933246273,0.001630585953393701,0.0,531.4783118950401,429.816919228416,6.816830024358275e-10,1,29.864054528881457,2952,1319,0.45454545454545453,0.0003518219560378029,20,43
#,#,1.0,#,1.0,#,0.0,1.0,#,#,1.0,0.0,0.0031540647640520203,0.0017663381785936864,0.0,375.34869604490285,419.6880254876394,7.680104146958038e-10,1,19.027524544687612,2954,1319,0.45454545454545453,0.004595854370206755,23,52
#,#,1.0,1.0,0.0,#,0.0,#,#,#,0.0,0.0,0.001155183454267139,0.006098423970408525,0.0,985.6089586384235,52.44140958364675,2.52132143893584e-05,1,20.663097236591142,2989,1329,0.45454545454545453,0.013626961661100844,39,51
1.0,0.0,1.0,#,1.0,0.0,#,1.0,#,#,#,1.0,0.04032004094268592,0.0013125,0.0,788.548096,323.43545173333337,2.8252825960057537e-09,1,18.306140671999998,2756,1330,0.5454545454545454,0.0002156606770355855,13,23
#,0.0,0.0,1.0,0.0,0.0,1.0,#,#,0.0,#,1.0,0.49500886785343456,0.00125,0.0,1000.0,0.0,1.0,2,30.0,1959,1336,0.6363636363636364,0.0007068470003580191,3,8
0.0,0.0,1.0,#,1.0,#,1.0,#,1.0,#,#,0.0,0.1720280863897942,inf,0.25,0.0,0.0,1.0,1,29.264,2983,1340,0.5454545454545454,0.0003447528436412845,7,26
#,#,#,#,1.0,1.0,1.0,1.0,#,1.0,#,0.0,0.019123259452371037,0.0027519610571694743,0.0,181.47483648000002,211.539607552,2.360703959338395e-08,2,27.46730414374912,2884,1340,0.45454545454545453,0.0006471727180643484,18,55
#,1.0,0.0,#,#,#,0.0,1.0,1.0,0.0,#,0.0,0.07741187499966545,0.0020343164173116596,0.0,854.820130816,198.2676598784,3.263928199087399e-08,1,25.178042068992,2953,1357,0.5454545454545454,0.0002966170585225835,16,29
#,0.0,#,#,0.0,0.0,0.0,#,0.0,0.0,0.0,1.0,0.08902425105173259,0.0007500000000000001,0.0,333.33333333333337,277.77777777777777,6.0466176e-09,1,24.666666666666668,2941,1361,0.6363636363636364,0.0002905926557027412,3,13
0.0,#,1.0,#,0.0,#,0.0,1.0,#,#,#,1.0,0.45292798620884145,inf,0.5,0.0,0.0,1.0,3,23.526010879999998,2966,1361,0.45454545454545453,0.0008314645110459059,12,48
0.0,#,#,1.0,#,1.0,1.0,1.0,#,1.0,#,0.0,0.17398100563772653,0.00525,0.0,0.0,0.0,1.0,1,39.4656,2980,1362,0.5454545454545454,0.00046493568295549064,8,23
#,0.0,0.0,1.0,#,1.0,#,1.0,0.0,1.0,#,0.0,0.08426751724502507,inf,0.1,0.0,0.0,1.0,1,36.4,2484,1378,0.6363636363636364,0.0004288205135505316,5,13
#,0.0,#,0.0,#,0.0,#,#,0.0,0.0,0.0,0.0,0.0410403152242373,0.0022359042089757373,0.0,912.98916352,169.50440755199995,7.146526734150305e-08,1,19.93284153344,2974,1387,0.5454545454545454,0.00025229786761502807,15,23
0.0,1.0,0.0,0.0,#,#,#,0.0,#,0.0,0.0,0.0,0.07667596912266927,0.000625,0.0,680.0,306.6666666666667,3.686949056319714e-09,1,26.0,2689,1388,0.6363636363636364,0.00030630036682180824,6,11
#,1.0,1.0,#,#,#,0.0,#,0.0,#,#,1.0,0.0006103513630973249,0.0017031050910589025,0.0,573.4070431692303,430.5065379332776,6.762406034344562e-10,1,17.133806279527384,2994,1402,0.36363636363636365,0.02138594807358351,41,100
0.0,1.0,#,0.0,#,1.0,#,#,1.0,#,#,1.0,0.18471331803956953,0.003132753742795535,0.0,971.3117799926291,78.8628677295738,3.2782130329498768e-06,2,15.943248261984044,2945,1406,0.45454545454545453,0.00037564790699822073,26,46
0.0,#,1.0,1.0,0.0,1.0,#,#,#,#,0.0,0.0,0.10844406728746259,0.0018057531196986108,0.03138082610153235,773.1564544,219.05580031999997,1.982559425704474e-08,1,25.952287232000003,2921,1409,0.5454545454545454,0.000305738273039482,14,22
#,1.0,#,0.0,#,0.0,#,0.0,1.0,0.0,0.0,1.0,0.12900310278036123,0.0025,0.0,0.0,0.0,1.0,1,32.0,2769,1428,0.6363636363636364,0.0003769850668576102,4,12
0.0,1.0,0.0,0.0,0.0,#,#,0.0,#,#,#,0.0,0.030067927933569744,0.0013124999999999999,0.0,868.9280000000001,244.6677333333333,1.1405557206444103e-08,1,23.454144000000003,2653,1428,0.5454545454545454,0.00027630818887275057,10,23
